TimeStamp,Barometer_2,Barmoeter_1,temp_2,temp_1,WindVane_2,WindVane_1,Anemo_2,Anemo_1
00:00.4,1040.983,1022.315,5.88366,6.89383,135.9531,275.6715,5.7752,5.8231
00:01.4,1040.971,1022.297,5.88061,6.88772,135.9531,275.3199,5.8212,5.8231
00:02.4,1040.983,1022.297,5.88366,6.89993,135.9531,275.3199,5.8672,5.8231
00:03.4,1040.971,1022.297,5.88061,6.88467,135.9531,275.3199,5.7752,5.869
00:04.5,1040.983,1022.297,5.88061,6.86941,136.3047,275.3199,5.8212,5.8231
00:05.5,1040.971,1022.279,5.87146,6.87857,136.3047,275.6715,5.8672,5.9609
00:06.5,1040.983,1022.279,5.88977,6.86941,136.6562,275.6715,5.9132,5.915
00:07.5,1040.971,1022.279,5.87756,6.87246,135.6016,274.9684,5.8672,5.915
00:08.5,1040.983,1022.315,5.88061,6.86331,135.9531,275.3199,5.9132,5.9609
00:09.6,1040.971,1022.297,5.87756,6.87246,135.6016,274.9684,5.9592,6.0068
00:10.6,1040.971,1022.297,5.88061,6.87246,135.6016,274.6168,5.9592,6.0068
00:11.6,1040.971,1022.297,5.88061,6.86331,135.6016,274.9684,5.9592,6.0068
00:12.6,1040.971,1022.297,5.88061,6.87857,135.25,274.2652,5.9132,5.869
00:13.7,1040.983,1022.297,5.88672,6.86636,134.8984,274.2652,5.9592,5.9609
00:14.7,1040.983,1022.297,5.88061,6.86026,134.8984,273.9137,5.8672,6.0068
00:15.7,1040.971,1022.297,5.87146,6.8572,134.8984,273.9137,5.8672,6.0527
00:16.7,1040.971,1022.315,5.87146,6.87857,134.5469,273.9137,5.9592,6.0068
00:17.7,1040.971,1022.315,5.87451,6.86331,134.8984,274.2652,5.9132,5.915
00:18.8,1040.971,1022.297,5.87451,6.86026,134.8984,274.2652,5.9132,5.915
00:19.8,1040.983,1022.297,5.87756,6.86941,134.1953,273.2106,5.9132,6.0068
00:20.8,1040.971,1022.315,5.87756,6.86026,134.1953,273.2106,5.9132,6.0068
00:21.8,1040.971,1022.315,5.87146,6.86941,134.1953,272.859,5.8672,5.9609
00:22.8,1040.971,1022.279,5.87451,6.86026,134.1953,272.859,6.0052,5.9609
00:23.8,1040.971,1022.297,5.87451,6.86026,134.5469,273.2106,5.9592,5.915
00:24.9,1040.983,1022.297,5.87756,6.86331,135.25,274.2652,6.0052,6.0068
00:25.9,1040.983,1022.315,5.87146,6.8572,134.1953,273.9137,6.0052,5.915
00:26.9,1040.983,1022.297,5.87146,6.86026,135.25,273.9137,6.0511,5.915
00:27.9,1040.983,1022.297,5.86535,6.85415,135.9531,273.9137,6.0052,5.9609
00:28.9,1040.922,1022.297,5.87451,6.8572,135.6016,274.2652,5.9592,5.9609
00:29.9,1040.983,1022.279,5.87451,6.86331,134.8984,274.2652,5.9592,6.0068
00:31.0,1040.971,1022.297,5.87756,6.845,135.25,274.2652,5.9592,5.9609
00:32.0,1040.983,1022.297,5.8684,6.85415,135.25,274.6168,5.9132,5.9609
00:33.0,1040.971,1022.315,5.87146,6.845,135.25,274.2652,5.9132,5.9609
00:34.0,1040.983,1022.297,5.87146,6.87246,135.25,275.6715,5.9592,6.0068
00:35.0,1040.971,1022.297,5.8684,6.85415,134.8984,274.9684,6.0511,6.0986
00:36.1,1040.971,1022.315,5.87146,6.83889,133.4922,273.2106,6.0511,6.0068
00:37.1,1040.983,1022.315,5.87146,6.8511,134.5469,273.9137,6.0511,5.9609
00:38.1,1040.971,1022.315,5.8684,6.845,134.5469,273.9137,6.1431,6.0986
00:39.1,1040.983,1022.297,5.87146,6.84805,135.25,273.9137,6.0511,6.0986
00:40.1,1040.971,1022.297,5.86535,6.8572,135.25,274.6168,6.0971,6.0068
00:41.2,1040.971,1022.297,5.86535,6.845,135.9531,275.6715,6.1431,6.0527
00:42.2,1040.983,1022.297,5.86535,6.86636,135.25,274.2652,6.2351,6.1446
00:43.2,1040.971,1022.297,5.86535,6.84805,133.8438,273.9137,6.0971,5.9609
00:44.2,1040.971,1022.297,5.87146,6.8572,135.25,273.2106,6.0971,6.0986
00:45.2,1040.971,1022.297,5.8623,6.83889,133.8438,273.9137,6.0971,6.1446
00:46.2,1040.983,1022.297,5.8684,6.86941,134.1953,273.5621,6.0971,6.0527
00:47.2,1040.971,1022.315,5.8684,6.86636,134.5469,273.9137,6.1431,6.0986
00:48.2,1040.983,1022.297,5.86535,6.86636,135.6016,273.9137,6.0511,6.0527
00:49.2,1040.922,1022.297,5.86535,6.86026,135.25,272.1559,5.9592,6.0527
00:50.3,1040.971,1022.315,5.86535,6.84194,135.9531,274.2652,5.9132,6.0986
00:51.3,1040.971,1022.315,5.86535,6.85415,136.3047,275.6715,5.7752,6.0527
00:52.3,1040.971,1022.297,5.86535,6.85415,136.6562,274.9684,5.7752,5.869
00:53.3,1040.983,1022.297,5.85925,6.85415,136.3047,277.4293,5.7752,5.7772
00:54.3,1040.983,1022.315,5.85925,6.84805,136.3047,276.7262,5.7292,5.8231
00:55.4,1040.91,1022.297,5.8684,6.8511,137.7109,274.6168,5.9132,5.869
00:56.4,1040.971,1022.297,5.8623,6.83889,137.3594,279.1871,5.8672,5.915
00:57.4,1040.983,1022.315,5.85925,6.8572,135.9531,277.4293,5.9132,5.869
00:58.4,1040.983,1022.315,5.8623,6.85415,136.6562,275.6715,5.9132,5.8231
00:59.4,1040.983,1022.297,5.8623,6.8572,137.7109,275.3199,5.9132,6.0527
